index,variable,question
1476,V166059,WEB SCREENER: S101. Gender for roster person 3
1477,V166060,WEB SCREENER: S101. Gender for roster person 4
1478,V166061,WEB SCREENER: S101. Gender for roster person 5
1479,V166062,WEB SCREENER: S101. Gender for roster person 6
1480,V166063,WEB SCREENER: S101. Gender for roster person 7
1481,V166064,WEB SCREENER: S101. Gender for roster person 8
1482,V166065,WEB SCREENER: S101. Gender for roster person 9
1483,V166066,WEB SCREENER: S101. Gender for roster person 10
1484,V166067,WEB SCREENER: S102. Citizenship for roster person 1
1485,V166068,WEB SCREENER: S102. Citizenship for roster person 2
1486,V166069,WEB SCREENER: S102. Citizenship for roster person 3
1487,V166070,WEB SCREENER: S102. Citizenship for roster person 4
1488,V166071,WEB SCREENER: S102. Citizenship for roster person 5
1489,V166072,WEB SCREENER: S102. Citizenship for roster person 6
1490,V166073,WEB SCREENER: S102. Citizenship for roster person 7
1491,V166074,WEB SCREENER: S102. Citizenship for roster person 8
1492,V166075,WEB SCREENER: S102. Citizenship for roster person 9
1493,V166076,WEB SCREENER: S102. Citizenship for roster person 10
1494,V166077,RESTRICTED. WEB SCREENER: S103. Age for roster person 1
1495,V166078,RESTRICTED. WEB SCREENER: S103. Age for roster person 2
1496,V166079,RESTRICTED. WEB SCREENER: S103. Age for roster person 3
1497,V166080,RESTRICTED. WEB SCREENER: S103. Age for roster person 4
1498,V166081,RESTRICTED. WEB SCREENER: S103. Age for roster person 5
1499,V166082,RESTRICTED. WEB SCREENER: S103. Age for roster person 6
1500,V166083,RESTRICTED. WEB SCREENER: S103. Age for roster person 7
1501,V166084,RESTRICTED. WEB SCREENER: S103. Age for roster person 8
1502,V166085,RESTRICTED. WEB SCREENER: S103. Age for roster person 9
1503,V166086,RESTRICTED. WEB SCREENER: S103. Age for roster person 10
1504,V166087,WEB SCREENER: S103. Age categories for roster person 1
1505,V166088,WEB SCREENER: S103. Age categories for roster person 2
1506,V166089,
1507,V166090,WEB SCREENER: S103. Age categories for roster person 3
1508,V166091,WEB SCREENER: S103. Age categories for roster person 4
1509,V166092,WEB SCREENER: S103. Age categories for roster person 5
1510,V166093,WEB SCREENER: S103. Age categories for roster person 6
1511,V166094,WEB SCREENER: S103. Age categories for roster person 7
1512,V166095,WEB SCREENER: S103. Age categories for roster person 8
1513,V166096,WEB SCREENER: S103. Age categories for roster person 9
1514,V166097,WEB SCREENER: S103. Age categories for roster person 10
1515,V166098,WEB SCREENER: Number of adults in HH before roster. Derived from s5 and s5d
1516,V166099,WEB SCREENER: Number of adults in HH - summary
1517,V166100,WEB SCREENER: Number eligible adults in HH before roster. Derived from s6 and s6
1518,V166101,WEB SCREENER: Number of eligible adults in HH after roster. Roster.s102=citizen
1519,V166102,WEB SCREENER: Number of eligible U.S. Citizen adults in HH - summary
1520,V166103,WEB SCREENER: Selected person before roster. Derived from NUMELIG and RAND1
1521,V166104,WEB SCREENER: Selection is Nth citizen listed in roster
1522,V166105,WEB SCREENER: Selection is Nth person listed in roster
1523,V166106,WEB SCREENER: Roster position selected for Pre (final summary)
1524,V166107,WEB SCREENER: Roster size
1525,V166108,"WEB SCREENER: Selection for Pre, detailed"
1526,V166109,WEB SCREENER: Screener R selected for Pre
1527,V166110,RANDOMIZATION VARIABLES
1528,V166111,RANDOM: Assignment to forward or reverse response options for selected questions
1529,V166112,RANDOM: Assignment to ballot color/ order of major party names in vote sections
1530,V166113,RANDOM: Assignment of contribution amount for CAMPFIN_DIRECT (V162236)
1531,V166114,RANDOM: Order of political figure thermometers (THERMPRE) - 1st
1532,V166115,RANDOM: Order of political figure thermometers (THERMPRE) - 2nd
1533,V166116,RANDOM: Order of political figure thermometers (THERMPRE) - 3rd
1534,V166117,RANDOM: Order of political figure thermometers (THERMPRE) - 4th
1535,V166118,RANDOM: Order of political figure thermometers (THERMPRE) - 5th
1536,V166119,RANDOM: Order of political figure thermometers (THERMPRE) - 6th
1537,V166120,RANDOM: Order of Presidential candidate affects (CANDAFF) - 1st
1538,V166121,RANDOM: Order of Presidential candidate affects (CANDAFF) - 2nd
1539,V166122,RANDOM: Order of Presidential candidate affects (CANDAFF) - 3rd
1540,V166123,RANDOM: Order of Presidential candidate affects (CANDAFF) - 4th
1541,V166124,RANDOM: Order of Presidential candidate affects (CANDAFF) - 5th
1542,V166125,RANDOM: Order of Presidential candidate affects (CANDAFF) - 6th
1543,V166126,RANDOM: Order of Presidential candidate affects (CANDAFF) - 7th
1544,V166127,RANDOM: Order of Presidential candidate affects (CANDAFF) - 8th
1545,V166128,RANDOM: Order of Presidential candidate affects (CANDAFF) - 9th
1546,V166129,RANDOM: Order of Presidential candidate affects (CANDAFF) - 10th
1547,V166130,RANDOM: Order of Presidential candidate traits (CTRAIT) - 1st
1548,V166131,RANDOM: Order of Presidential candidate traits (CTRAIT) - 2nd
1549,V166132,RANDOM: Order of Presidential candidate traits (CTRAIT) - 3rd
1550,V166133,RANDOM: Order of Presidential candidate traits (CTRAIT) - 4th
1551,V166134,RANDOM: Order of Presidential candidate traits (CTRAIT) - 5th
1552,V166135,RANDOM: Order of Presidential candidate traits (CTRAIT) - 6th
1553,V166136,RANDOM: Order of Presidential candidate traits (CTRAIT) - 7th
1554,V166137,
1555,V166138,
1556,V166139,
1557,V166140,RANDOM: Order of Presidential candidate traits (CTRAIT) - 8th
1558,V166141,RANDOM: Order of Presidential candidate traits (CTRAIT) - 9th
1559,V166142,RANDOM: Order of Presidential candidate traits (CTRAIT) - 10th
1560,V166143,RANDOM: Order of Federal budget spending items (FEDSPEND) - 1st
1561,V166144,RANDOM: Order of Federal budget spending items (FEDSPEND) - 2nd
1562,V166145,RANDOM: Order of Federal budget spending items (FEDSPEND) - 3rd
1563,V166146,RANDOM: Order of Federal budget spending items (FEDSPEND) - 4th
1564,V166147,RANDOM: Order of Federal budget spending items (FEDSPEND) - 5th
1565,V166148,RANDOM: Order of Federal budget spending items (FEDSPEND) - 6th
1566,V166149,RANDOM: Order of Federal budget spending items (FEDSPEND) - 7th
1567,V166150,RANDOM: Order of Federal budget spending items (FEDSPEND) - 8th
1568,V166151,RANDOM: R consider voting a duty or choice/choice or duty
1569,V166152,RANDOM: Social class - 4 question set/2 question set
1570,V166153,RANDOM: Party order Presidential candidates likes-dislikes (CANDLIK)
1571,V166154,RANDOM: Party order political party likes-dislikes (PTYLIK)
1572,V166155,RANDOM: Order of Presidential candidates thermometers (THERMPRE)
1573,V166156,RANDOM: Order of political party thermometers (THERMPRE)
1574,V166157,RANDOM: Order of Presidential candidates liberal/conservative scale (LIBCPRE)
1575,V166158,RANDOM: Order of political parties liberal/conservative scale (LIBCPRE)
1576,V166159,RANDOM: Order of political parties for party ID (PTYID)
1577,V166160,RANDOM: Order of Presidential candidates - services/spending scale (SPSRVPR)
1578,V166161,RANDOM: Order of Presidential candidates - defense spending scale (DEFSPPR)
1579,V166162,RANDOM: Order of Presidential candidates - health insurance scale (INSPRE)
1580,V166163,RANDOM: Order of Presidential candidates - jobs/std living scale (GUARPR)
1581,V166164,RANDOM: Order of Presidential candidates - gov assistance to blacks scale (AIDBPR)
1582,V166165,RANDOM: Order of Presidential candidates - envorinment/jobs scale (ENVJOB)
1583,V166166,RANDOM: Order of federal government spending (LEASTSP) responses - 1st
1584,V166167,RANDOM: Order of federal government spending (LEASTSP) responses - 2nd
1585,V166168,RANDOM: Order of federal government spending (LEASTSP) responses - 3rd
1586,V166169,RANDOM: Order of federal government spending (LEASTSP) responses - 4th
1587,V166170,RANDOM: television programs R watches regularly - 1st
1588,V166171,RANDOM: television programs R watches regularly - 2nd
1589,V166172,RANDOM: television programs R watches regularly - 3rd
1590,V166173,RANDOM: television programs R watches regularly - 4th
1591,V166174,RANDOM: television programs R watches regularly - 5th
1592,V166175,RANDOM: television programs R watches regularly - 6th
1593,V166176,RANDOM: television programs R watches regularly - 7th
1594,V166177,RANDOM: television programs R watches regularly - 8th
1595,V166178,RANDOM: television programs R watches regularly - 9th
1596,V166179,RANDOM: television programs R watches regularly - 10th
1597,V166180,RANDOM: television programs R watches regularly - 11th
1598,V166181,RANDOM: television programs R watches regularly - 12th
1599,V166182,RANDOM: television programs R watches regularly - 13th
1600,V166183,RANDOM: television programs R watches regularly - 14th
1601,V166184,RANDOM: television programs R watches regularly - 15th
1602,V166185,RANDOM: television programs R watches regularly - 16th
1603,V166186,RANDOM: television programs R watches regularly - 17th
1604,V166187,
1605,V166188,
1606,V166189,
1607,V166190,RANDOM: television programs R watches regularly - 18th
1608,V166191,RANDOM: television programs R watches regularly - 19th
1609,V166192,RANDOM: television programs R watches regularly - 20th
1610,V166193,RANDOM: television programs R watches regularly - 21st
1611,V166194,RANDOM: television programs R watches regularly - 22nd
1612,V166195,RANDOM: television programs R watches regularly - 23rd
1613,V166196,RANDOM: television programs R watches regularly - 24th
1614,V166197,RANDOM: television programs R watches regularly - 25th
1615,V166198,RANDOM: television programs R watches regularly - 26th
1616,V166199,RANDOM: television programs R watches regularly - 27th
1617,V166200,RANDOM: television programs R watches regularly - 28th
1618,V166201,RANDOM: television programs R watches regularly - 29th
1619,V166202,RANDOM: television programs R watches regularly - 30th
1620,V166203,RANDOM: television programs R watches regularly - 31st
1621,V166204,RANDOM: television programs R watches regularly - 32nd
1622,V166205,RANDOM: television programs R watches regularly - 33rd
1623,V166206,RANDOM: television programs R watches regularly - 34th
1624,V166207,RANDOM: television programs R watches regularly - 35th
1625,V166208,RANDOM: television programs R watches regularly - 36th
1626,V166209,RANDOM: television programs R watches regularly - 37th
1627,V166210,RANDOM: television programs R watches regularly - 38th
1628,V166211,RANDOM: television programs R watches regularly - 39th
1629,V166212,RANDOM: television programs R watches regularly - 40th
1630,V166213,RANDOM: television programs R watches regularly - 41st
1631,V166214,RANDOM: television programs R watches regularly - 42nd
1632,V166215,RANDOM: television programs R watches regularly - 43rd
1633,V166216,RANDOM: television programs R watches regularly - 44th
1634,V166217,RANDOM: television programs R watches regularly - 45th
1635,V166218,RANDOM: television programs R watches regularly - 46th
1636,V166219,RANDOM: television programs R watches regularly - 47th
1637,V166220,RANDOM: television programs R watches regularly - 48th
1638,V166221,RANDOM: television programs (Spanish) R watches regularly - 49th
1639,V166222,RANDOM: television programs (Spanish) R watches regularly - 50th
1640,V166223,RANDOM: television programs (Spanish) R watches regularly - 51st
1641,V166224,RANDOM: television programs (Spanish) R watches regularly - 52nd
1642,V166225,RANDOM: television programs (Spanish) R watches regularly - 53rd
1643,V166226,RANDOM: television programs (Spanish) R watches regularly - 54th
1644,V166227,RANDOM: television programs (Spanish) R watches regularly - 55th
1645,V166228,RANDOM: television programs (Spanish) R watches regularly - 56th
1646,V166229,RANDOM: television programs (Spanish) R watches regularly - 57th
1647,V166230,RANDOM: television programs (Spanish) R watches regularly - 58th
1648,V166231,RANDOM: television programs (Spanish) R watches regularly - 59th
1649,V167500,RANDOM: television programs (Spanish) R watches regularly - 60th
1650,V167501,RANDOM: television programs (Spanish) R watches regularly - 61st
1651,V167502,RANDOM: television programs (Spanish) R watches regularly - 62nd
1652,V167503,RANDOM: television programs (Spanish) R watches regularly - 63rd
1653,V167504,RANDOM: television programs (Spanish) R watches regularly - 64th
1654,V167505,
1655,V167506,
1656,V167507,
1657,V167508,RANDOM: radio programs R listens to regularly (RADPROGS) - 1st
1658,V167509,RANDOM: radio programs R listens to regularly (RADPROGS) - 2nd
1659,V167510,RANDOM: radio programs R listens to regularly (RADPROGS) - 3rd
1660,V167511,RANDOM: radio programs R listens to regularly (RADPROGS) - 4th
1661,V167512,RANDOM: radio programs R listens to regularly (RADPROGS) - 5th
1662,V167513,RANDOM: radio programs R listens to regularly (RADPROGS) - 6th
1663,V167514,RANDOM: radio programs R listens to regularly (RADPROGS) - 7th
1664,V167515,RANDOM: radio programs R listens to regularly (RADPROGS) - 8th
1665,V167516,RANDOM: radio programs R listens to regularly (RADPROGS) - 9th
1666,V167517,RANDOM: radio programs R listens to regularly (RADPROGS) - 10th
1667,V167518,RANDOM: radio programs R listens to regularly (RADPROGS) - 11th
1668,V167519,RANDOM: radio programs R listens to regularly (RADPROGS) - 12th
1669,V167520,RANDOM: radio programs R listens to regularly (RADPROGS) - 13th
1670,V167521,RANDOM: radio programs R listens to regularly (RADPROGS) - 14th
1671,V167522,RANDOM: radio programs R listens to regularly (RADPROGS) - 15th
1672,V167523,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 1st
1673,V167524,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 2nd
1705,V167525,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 3rd
1706,V167526,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 4th
1707,V167558,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 5th
1708,V168000,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 6th
1709,V168001,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 7th
1710,V168002,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 8th
1711,V168003,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 9th
1712,V168004,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 10th
1713,V168005,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 11th
1714,V168006,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 12th
1715,V168007,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 13th
1716,V168008,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 14th
1717,V168009,RANDOM: web sites R visits regularly (MEDSRC_WEBSITES) - 15th
1718,V168010,RANDOM: print/online newspapers R reads regularly - 1st
1674,V168011,RANDOM: print/online newspapers R reads regularly - 2nd
1675,V168012,RANDOM: print/online newspapers R reads regularly - 3rd
1676,V167527,RANDOM: print/online newspapers R reads regularly - 4th
1677,V167528,RANDOM: print/online newspapers R reads regularly - 5th
1678,V167529,RANDOM: print/online newspapers R reads regularly - 6th
1679,V167530,RANDOM: print/online newspapers R reads regularly - 7th
1680,V167531,RANDOM: print/online newspapers R reads regularly - 8th
1681,V167532,RANDOM: print/online newspapers R reads regularly - 9th
1682,V167533,RANDOM: print/online newspapers R reads regularly - 10th
1683,V167534,RANDOM: print/online newspapers R reads regularly - 11th
1684,V167535,RANDOM: print/online newspapers R reads regularly - 12th
1685,V167536,RANDOM: print/online newspapers R reads regularly - 13th
1686,V167537,RANDOM: print/online newspapers R reads regularly - 14th
1687,V167538,RANDOM: print/online newspapers R reads regularly - 15th
1688,V167539,RANDOM: print/online newspapers R reads regularly - 16th
1689,V167540,RANDOM: Order of post Presidential candidates thermometers (THERMPO)
1690,V167541,
1691,V167542,
1692,V167543,
1693,V167544,RANDOM: Order of post political figure thermometers (THERMPO) - 1st
1694,V167545,RANDOM: Order of post political figure thermometers (THERMPO) - 2nd
1695,V167546,RANDOM: Order of post political figure thermometers (THERMPO) - 3rd
1696,V167547,RANDOM: Order of post political figure thermometers (THERMPO) - 4th
1697,V167548,RANDOM: Order of post political figure thermometers (THERMPO) - 5th
1698,V167549,RANDOM: Order of post political figure thermometers (THERMPO) - 6th
1699,V167550,RANDOM: Order of post political figure thermometers (THERMPO) - 7th
1700,V167551,RANDOM: Order of post political figure thermometers (THERMPO) - 8th
1701,V167552,RANDOM: Order of post political figure thermometers (THERMPO) - 9th
1702,V167553,RANDOM: Order of post political figure thermometers (THERMPO) - 10th
1703,V167554,RANDOM: Order of post political figure thermometers (THERMPO) - 11th
1704,V167555,RANDOM: Order of post political figure thermometers (THERMPO) - 12th
1719,V167556,RANDOM: Order of post political figure thermometers (THERMPO) - 13th
1720,V167557,RANDOM: Order of post political figure thermometers (THERMPO) - 14th
1721,V168013,RANDOM: Order of post political figure thermometers (THERMPO) - 15th
1722,V168014,RANDOM: Order of post group thermometers (THERMGR) - 1st
1723,V168015,RANDOM: Order of post group thermometers (THERMGR) - 2nd
1724,V168016,RANDOM: Order of post group thermometers (THERMGR) - 3rd
1725,V168017,RANDOM: Order of post group thermometers (THERMGR) - 4th
1726,V168018,RANDOM: Order of post group thermometers (THERMGR) - 5th
1727,V168019,RANDOM: Order of post group thermometers (THERMGR) - 6th
1728,V168020,RANDOM: Order of post group thermometers (THERMGR) - 7th
1729,V168021,RANDOM: Order of post group thermometers (THERMGR) - 8th
1730,V168022,RANDOM: Order of post group thermometers (THERMGR) - 9th
1731,V168023,RANDOM: Order of post group thermometers (THERMGR) - 10th
1732,V168024,RANDOM: Order of post group thermometers (THERMGR) - 11th
1733,V168025,RANDOM: Order of post group thermometers (THERMGR) - 12th
1734,V168026,RANDOM: Order of post group thermometers (THERMGR) - 13th
1735,V168027,RANDOM: Order of post group thermometers (THERMGR) - 14th
1736,V168028,RANDOM: Order of post group thermometers (THERMGR) - 15th
1737,V168029,RANDOM: Order of post group thermometers (THERMGR) - 16th
1738,V168030,RANDOM: Order of post group thermometers (THERMGR) - 17th
1739,V168031,RANDOM: Order of post group thermometers (THERMGR) - 18th
1740,V168032,RANDOM: Order of post group thermometers (THERMGR) - 19th
1741,V168033,RANDOM: Order of party to deal w/most important problem (MIP)
1742,V168034,RANDOM: Order of HLTHLAW_AMCOST and HLTHLAW_RCOST
1743,V168035,RANDOM: Revised or standard version of IMPORTLIM
1744,V168036,RANDOM: Order of Israel-Palestinian support questions (ISRSUPP)
1745,V168037,RANDOM: Order of Presidential candidates for liberal/conservative scale (LIBCPO)
1746,V168038,RANDOM: Order of Presidential candidates for abortion scale (APORTPO)
1747,V168039,RANDOM: Order of post CASI group thermometers (THCASI) - 1st
1748,V168040,RANDOM: Order of post CASI group thermometers (THCASI) - 2nd
1749,V168100,RANDOM: Order of post CASI group thermometers (THCASI) - 3rd
1750,V168101,RANDOM: Order of post CASI group thermometers (THCASI) - 4th
1751,V168102,RANDOM: Order of post CASI group thermometers (THCASI) - 5th
1752,V168103,RANDOM: Order of stereotype groups after Whites (STYPEPO_HWK) - 1st
1753,V168104,RANDOM: Order of stereotype groups after Whites (STYPEPO_HWK) - 2nd
1754,V168105,
1755,V168106,RANDOM: Order of stereotype groups after Whites (STYPEPO_HWK) - 3rd
1756,V168107,RANDOM: Order of stereotype groups after Whites (STYPEPO_VIOL) - 1st
1757,V168108,RANDOM: Order of stereotype groups after Whites (STYPEPO_VIOL) - 2nd
1758,V168109,RANDOM: Order of stereotype groups after Whites (STYPEPO_VIOL) - 3rd
1759,V168110,RANDOM: Order of stereotype groups after Whites (STYPEPO_VIOL) - 4th
1760,V168111,RANDOM: Order of stereotype groups after Whites (STYPEPO_VIOL) - 5th
1761,V168112,RANDOM: Order of stereotype groups (STYPEPO_PATRIOT)
1762,V168113,RANDOM: Order of discrimination social groups (DISCRIM) - 1st
1763,V168114,RANDOM: Order of discrimination social groups (DISCRIM) - 2nd
1764,V168115,RANDOM: Order of discrimination social groups (DISCRIM) - 3rd
1765,V168116,RANDOM: Order of discrimination social groups (DISCRIM) - 4th
1766,V168117,RANDOM: Order of discrimination social groups (DISCRIM) - 5th
1767,V168118,RANDOM: Order of discrimination social groups (DISCRIM) - 6th
1768,V168119,RANDOM: Order of discrimination social groups (DISCRIM) - 7th
1769,V168120,RANDOM: Order of discrimination social groups (DISCRIM) - 8th
1770,V168121,RANDOM: Order of discrimination social groups (DISCRIM) - 9th
1771,V168122,RANDOM: Order of discrimination social groups (DISCRIM) - 10th
1772,V168123,DWELLING UNIT OBSERVATIONS
1773,V168124,FTF ONLY: Dwelling Unit (DU) completed
1774,V168125,
1775,V168126,
1776,V168127,FTF ONLY: DU1. Number of campaign or political signs visible in the structure's window(s)
1777,V168128,FTF ONLY: RESTRICTED: DU2. Describe sign(s)
1778,V168129,
1779,V168130,
1780,V168131,
1781,V168132,FTF ONLY: DU3. Enter number of campaign or political signs visible outside of the structure
1782,V168250,FTF ONLY: RESTRICTED: DU4. Describe sign(s)
1783,V168251,FTF ONLY: DU5. Do any of the signs support Hillary Clinton
1784,V168252,FTF ONLY: DU6. Do any of the signs support Donald Trump
1785,V168253,FTF ONLY: DU7. Religious items/symbols visible on/around the structure (1st)
1786,V168254,FTF ONLY: DU7. Religious items/symbols visible on/around the structure (2nd)
1787,V168255,FTF ONLY: DU7. Religious items/symbols visible on/around the structure (3rd)
1788,V168256,FTF ONLY: DU7. Religious items/symbols visible on/around the structure (4th)
1789,V168257,FTF ONLY: DU7. Religious items/symbols visible on/around the structure (5th)
1790,V168258,FTF ONLY: DU7. Religious items/symbols visible on/around the structure (6th)
1791,V168259,FTF ONLY: DU8A. What security signs are present? (1st)
1792,V168260,FTF ONLY: DU8A. What security signs are present? (2nd)
1793,V168261,FTF ONLY: DU8A. What security signs are present? (3rd)
1794,V168262,FTF ONLY: DU8A. What security signs are present? (4th)
1795,V168263,FTF ONLY: DU8A. What security signs are present? (5th)
1796,V168264,FTF ONLY: DU8A. What security signs are present? (6th)
1797,V168265,FTF ONLY: DU8B. What security people or animals are present? (1st)
1798,V168266,FTF ONLY: DU8B. What security people or animals are present? (2nd)
1799,V168300,FTF ONLY: DU8B. What security people or animals are present? (3rd)
1800,V168301,FTF ONLY: DU8B. What security people or animals are present? (4th)
1801,V168302,FTF ONLY: DU8B. What security people or animals are present? (5th)
1802,V168303,FTF ONLY: DU8C. What security technology is present? (1st)
1803,V168304,FTF ONLY: DU8C. What security technology is present? (2nd)
1804,V168305,FTF ONLY: DU8C. What security technology is present? (3rd)
1805,V168306,
1806,V168307,FTF ONLY: DU8C. What security technology is present? (4th)
1807,V168308,FTF ONLY: DU8C. What security technology is present? (5th)
1808,V168309,FTF ONLY: DU8C. What security technology is present? (6th)
1809,V168310,FTF ONLY: DU9. What type of structure is this?
1810,V168311,FTF ONLY: RESTRICTED: DU9_OS. Other {SPECIFY}
1811,V168312,FTF ONLY: DU10. What is the size of the structure?
1812,V168313,FTF ONLY: DU11. Is this structure...
1813,V168314,FTF ONLY: DU12. Is this block...
1814,V168315,FTF ONLY: DU13. Is this block...
1815,V168316,FTF ONLY: RESTRICTED: DU13_OS. Other {SPECIFY}
1816,V168500,FTF ONLY: DU14. Any of the following conditions of the building present? (1st)
1817,V168501,FTF ONLY: DU14. Any of the following conditions of the building present? (2nd)
1818,V168502,FTF ONLY: DU14. Any of the following conditions of the building present? (3rd)
1819,V168503,FTF ONLY: DU14. Any of the following conditions of the building present? (4th)
1820,V168504,FTF ONLY: DU14. Any of the following conditions of the building present? (5th)
1821,V168505,FTF ONLY: DU14. Any of the following conditions of the building present? (6th)
1822,V168506,FTF ONLY: DU14. Any of the following conditions of the building present? (7th)
1823,V168507,FTF ONLY: DU14. Any of the following conditions of the building present? (8th)
1824,V168508,FTF ONLY: DU14. Any of the following conditions of the building present? (9th)
1825,V168509,FTF ONLY: DU14. Any of the following conditions of the building present? (10th)
1826,V168510,FTF ONLY: DU14. Any of the following conditions of the building present? (11th)
1827,V168511,FTF ONLY: DU14. Any of the following conditions of the building present? (12th)
1828,V168512,FTF ONLY: DU15. Which are present within sight of housing unit? (1st)
1829,V168513,FTF ONLY: DU15. Which are present within sight of housing unit? (2nd)
1830,V168514,FTF ONLY: DU15. Which are present within sight of housing unit? (3rd)
1831,V168515,FTF ONLY: DU15. Which are present within sight of housing unit? (4th)
1832,V168516,FTF ONLY: DU15. Which are present within sight of housing unit? (5th)
1833,V168517,FTF ONLY: DU15. Which are present within sight of housing unit? (6th)
1834,V168518,FTF ONLY: DU15. Which are present within sight of housing unit? (7th)
1835,V168519,FTF ONLY: DU15. Which are present within sight of housing unit? (8th)
1836,V168520,FTF ONLY: DU15. Which are present within sight of housing unit? (9th)
1837,V168521,"FTF ONLY: DU16. Relative to the other buildings on the road, is the physical condition of the building"
1838,V168522,"better, worse or the same?"
1839,V168523,PRE INTERVIEWER OBSERVATIONS
1840,V168524,FTF ONLY: Pre IWR Obs- IWR obs module completed (after Pre-election IW)
1841,V168525,FTF ONLY: Pre IWR OBS- Skin tone category of respondent
1842,V168526,FTF ONLY: Pre IWR Obs- No. signs in window
